scenario,max_day,feasible_criteria,team,team_total_day,works_count,detail
1,60,dur,1,24,1 , "['1 - 25']"
1,60,dur,2,81,3 , "['9 - 33'-'11 - 44'-'41 - 65']"
1,60,dur,3,18,1 , "['48 - 66']"
1,60,dur,4,30,1 , "['67 - 97']"
1,60,dur,5,24,1 , "['78 - 102']"
1,60,dur,6,18,1 , "['88 - 106']"
1,60,dur,7,30,1 , "['101 - 131']"
1,60,dur,8,24,1 , "['111 - 135']"
1,60,dur,9,25,1 , "['117 - 142']"
1,60,dur,10,30,1 , "['125 - 155']"
1,60,dur,11,20,1 , "['130 - 150']"
1,60,dur,12,18,1 , "['141 - 159']"
1,60,dur,13,16,1 , "['153 - 169']"
1,60,dur,14,33,1 , "['155 - 188']"
1,60,dur,15,25,1 , "['166 - 191']"
1,60,dur,16,20,1 , "['174 - 194']"
2,60,dursf,1,78,3 , "['1 - 25'-'41 - 65'-'67 - 97']"
2,60,dursf,2,66,3 , "['9 - 33'-'48 - 66'-'78 - 102']"
2,60,dursf,3,51,2 , "['11 - 44'-'88 - 106']"
2,60,dursf,4,30,1 , "['101 - 131']"
2,60,dursf,5,24,1 , "['111 - 135']"
2,60,dursf,6,25,1 , "['117 - 142']"
2,60,dursf,7,30,1 , "['125 - 155']"
2,60,dursf,8,20,1 , "['130 - 150']"
2,60,dursf,9,18,1 , "['141 - 159']"
2,60,dursf,10,16,1 , "['153 - 169']"
2,60,dursf,11,33,1 , "['155 - 188']"
2,60,dursf,12,25,1 , "['166 - 191']"
2,60,dursf,13,20,1 , "['174 - 194']"
3,90,dur,1,105,4 , "['1 - 25'-'9 - 33'-'11 - 44'-'41 - 65']"
3,90,dur,2,18,1 , "['48 - 66']"
3,90,dur,3,30,1 , "['67 - 97']"
3,90,dur,4,24,1 , "['78 - 102']"
3,90,dur,5,18,1 , "['88 - 106']"
3,90,dur,6,30,1 , "['101 - 131']"
3,90,dur,7,24,1 , "['111 - 135']"
3,90,dur,8,25,1 , "['117 - 142']"
3,90,dur,9,30,1 , "['125 - 155']"
3,90,dur,10,20,1 , "['130 - 150']"
3,90,dur,11,18,1 , "['141 - 159']"
3,90,dur,12,16,1 , "['153 - 169']"
3,90,dur,13,33,1 , "['155 - 188']"
3,90,dur,14,25,1 , "['166 - 191']"
3,90,dur,15,20,1 , "['174 - 194']"
4,90,dursf,1,108,4 , "['1 - 25'-'41 - 65'-'67 - 97'-'101 - 131']"
4,90,dursf,2,90,4 , "['9 - 33'-'48 - 66'-'78 - 102'-'111 - 135']"
4,90,dursf,3,76,3 , "['11 - 44'-'88 - 106'-'117 - 142']"
4,90,dursf,4,30,1 , "['125 - 155']"
4,90,dursf,5,20,1 , "['130 - 150']"
4,90,dursf,6,18,1 , "['141 - 159']"
4,90,dursf,7,16,1 , "['153 - 169']"
4,90,dursf,8,33,1 , "['155 - 188']"
4,90,dursf,9,25,1 , "['166 - 191']"
4,90,dursf,10,20,1 , "['174 - 194']"
5,120,dur,1,123,5 , "['1 - 25'-'9 - 33'-'11 - 44'-'41 - 65'-'48 - 66']"
5,120,dur,2,30,1 , "['67 - 97']"
5,120,dur,3,24,1 , "['78 - 102']"
5,120,dur,4,18,1 , "['88 - 106']"
5,120,dur,5,30,1 , "['101 - 131']"
5,120,dur,6,24,1 , "['111 - 135']"
5,120,dur,7,25,1 , "['117 - 142']"
5,120,dur,8,30,1 , "['125 - 155']"
5,120,dur,9,20,1 , "['130 - 150']"
5,120,dur,10,18,1 , "['141 - 159']"
5,120,dur,11,16,1 , "['153 - 169']"
5,120,dur,12,33,1 , "['155 - 188']"
5,120,dur,13,25,1 , "['166 - 191']"
5,120,dur,14,20,1 , "['174 - 194']"
6,120,dursf,1,126,5 , "['1 - 25'-'41 - 65'-'67 - 97'-'101 - 131'-'141 - 159']"
6,120,dursf,2,106,5 , "['9 - 33'-'48 - 66'-'78 - 102'-'111 - 135'-'153 - 169']"
6,120,dursf,3,109,4 , "['11 - 44'-'88 - 106'-'117 - 142'-'155 - 188']"
6,120,dursf,4,30,1 , "['125 - 155']"
6,120,dursf,5,20,1 , "['130 - 150']"
6,120,dursf,6,25,1 , "['166 - 191']"
6,120,dursf,7,20,1 , "['174 - 194']"
7,180,dur,1,195,8 , "['1 - 25'-'9 - 33'-'11 - 44'-'41 - 65'-'48 - 66'-'67 - 97'-'78 - 102'-'88 - 106']"
7,180,dur,2,30,1 , "['101 - 131']"
7,180,dur,3,24,1 , "['111 - 135']"
7,180,dur,4,25,1 , "['117 - 142']"
7,180,dur,5,30,1 , "['125 - 155']"
7,180,dur,6,20,1 , "['130 - 150']"
7,180,dur,7,18,1 , "['141 - 159']"
7,180,dur,8,16,1 , "['153 - 169']"
7,180,dur,9,33,1 , "['155 - 188']"
7,180,dur,10,25,1 , "['166 - 191']"
7,180,dur,11,20,1 , "['174 - 194']"
8,180,dursf,1,151,6 , "['1 - 25'-'41 - 65'-'67 - 97'-'101 - 131'-'141 - 159'-'166 - 191']"
8,180,dursf,2,126,6 , "['9 - 33'-'48 - 66'-'78 - 102'-'111 - 135'-'153 - 169'-'174 - 194']"
8,180,dursf,3,109,4 , "['11 - 44'-'88 - 106'-'117 - 142'-'155 - 188']"
8,180,dursf,4,30,1 , "['125 - 155']"
8,180,dursf,5,20,1 , "['130 - 150']"
9,365,dur,1,24,1 , "['1 - 25']"
9,365,dur,2,367,15 , "['9 - 33'-'11 - 44'-'41 - 65'-'48 - 66'-'67 - 97'-'78 - 102'-'88 - 106'-'101 - 131'-'111 - 135'-'117 - 142'-'125 - 155'-'130 - 150'-'141 - 159'-'153 - 169'-'155 - 188']"
9,365,dur,3,25,1 , "['166 - 191']"
9,365,dur,4,20,1 , "['174 - 194']"
10,365,dursf,1,151,6 , "['1 - 25'-'41 - 65'-'67 - 97'-'101 - 131'-'141 - 159'-'166 - 191']"
10,365,dursf,2,126,6 , "['9 - 33'-'48 - 66'-'78 - 102'-'111 - 135'-'153 - 169'-'174 - 194']"
10,365,dursf,3,109,4 , "['11 - 44'-'88 - 106'-'117 - 142'-'155 - 188']"
10,365,dursf,4,30,1 , "['125 - 155']"
10,365,dursf,5,20,1 , "['130 - 150']"